src,dst,cosine_sim
10115,9769,1.0
10115,9770,1.0
10115,9910,1.0
10115,9911,1.0
10165,17804,1.0
10169,20358,0.90323704
10169,27240,0.99999994
10169,29231,0.99999994
10169,32906,0.99999994
10169,39672,0.99999994
10231,44014,1.0
10392,9994,1.0
10449,9050,0.9409657
10449,10497,0.99999994
10449,13692,0.99999994
10449,16985,0.9409657
10449,19889,0.9409657
10449,20388,0.99999994
10449,26623,0.99999994
10449,33672,0.99999994
10449,44457,0.99999994
10467,582,0.9917083
10467,15196,0.9917083
10467,16824,0.9917083
10467,19884,0.9917083
10467,25586,1.0
10497,9050,0.9409657
10497,10449,0.99999994
10497,13692,0.99999994
10497,16985,0.9409657
10497,19889,0.9409657
10497,20388,0.99999994
10497,26623,0.99999994
10497,33672,0.99999994
10497,44457,0.99999994
10648,9735,1.0
10648,9750,1.0
10648,9888,1.0
10968,22364,1.0
11062,11066,1.0
11062,11071,1.0
11064,11096,1.0
11064,11202,1.0
11065,11089,0.99999994
11065,11225,0.99999994
11066,11062,1.0
11066,11071,1.0
11067,11070,1.0
11067,11076,1.0
11067,11087,1.0
11067,11098,1.0
11067,11103,1.0
11067,11104,1.0
11067,11106,1.0
11067,11183,1.0
11067,11187,1.0
11067,11192,1.0
11067,11196,1.0
11067,11199,1.0
11070,11067,1.0
11070,11076,1.0
11070,11087,1.0
11070,11098,1.0
11070,11103,1.0
11070,11104,1.0
11070,11106,1.0
11070,11183,1.0
11070,11187,1.0
11070,11192,1.0
11070,11196,1.0
11070,11199,1.0
11071,11062,1.0
11071,11066,1.0
11072,11304,0.9291061
11074,11078,1.0
11076,11067,1.0
11076,11070,1.0
11076,11087,1.0
11076,11098,1.0
11076,11103,1.0
11076,11104,1.0
11076,11106,1.0
11076,11183,1.0
11076,11187,1.0
11076,11192,1.0
11076,11196,1.0
11076,11199,1.0
11078,11074,1.0
11079,11080,1.0
11079,11083,1.0
11079,11084,1.0
11079,11090,1.0
11080,11079,1.0
11080,11083,1.0
11080,11084,1.0
11080,11090,1.0
11083,11079,1.0
11083,11080,1.0
11083,11084,1.0
11083,11090,1.0
11084,11079,1.0
11084,11080,1.0
11084,11083,1.0
11084,11090,1.0
11085,11208,0.9269884
11087,11067,1.0
11087,11070,1.0
11087,11076,1.0
11087,11098,1.0
11087,11103,1.0
11087,11104,1.0
11087,11106,1.0
11087,11183,1.0
11087,11187,1.0
11087,11192,1.0
11087,11196,1.0
11087,11199,1.0
11088,11091,1.0
11088,11191,1.0
11089,11065,0.99999994
11089,11225,0.99999994
11090,11079,1.0
11090,11080,1.0
11090,11083,1.0
11090,11084,1.0
11091,11088,1.0
11091,11191,1.0
11096,11064,1.0
11096,11202,1.0
11097,5084,0.9361343
11097,24479,0.95119226
11098,11067,1.0
11098,11070,1.0
11098,11076,1.0
11098,11087,1.0
11098,11103,1.0
11098,11104,1.0
11098,11106,1.0
11098,11183,1.0
11098,11187,1.0
11098,11192,1.0
11098,11196,1.0
11098,11199,1.0
11103,11067,1.0
11103,11070,1.0
11103,11076,1.0
11103,11087,1.0
11103,11098,1.0
11103,11104,1.0
11103,11106,1.0
11103,11183,1.0
11103,11187,1.0
11103,11192,1.0
11103,11196,1.0
11103,11199,1.0
11104,11067,1.0
11104,11070,1.0
11104,11076,1.0
11104,11087,1.0
11104,11098,1.0
11104,11103,1.0
11104,11106,1.0
11104,11183,1.0
11104,11187,1.0
11104,11192,1.0
11104,11196,1.0
11104,11199,1.0
11105,32751,0.99999994
11106,11067,1.0
11106,11070,1.0
11106,11076,1.0
11106,11087,1.0
11106,11098,1.0
11106,11103,1.0
11106,11104,1.0
11106,11183,1.0
